"Architecture","Dedicated","Direct_X","Integrated","L2_Cache","Manufacturer","Memory_Bandwidth","Memory_Bus","Memory_Speed","Memory_Type","Name","Notebook_GPU","Open_GL","Release_Date","Resolution_WxH","SLI_Crossfire","Shader"
"RV730 ","Yes","DX 10.1","No",0,"AMD",25.6,128,800,"DDR3","Mobility Radeon HD 4650","Yes","3.3","
09-Jan-2009 ","2560x1600","No","4.1"
"RV770 ","Yes","DX 10.1","No",0,"AMD",54.4,256,850,"GDDR3","Mobility Radeon HD 4850","Yes","3.3","
09-Jan-2009 ","2560x1600","No","4.1"
"RV710 ","Yes","DX 10.1","No",0,"AMD",11.2,64,700,"GDDR3","Mobility Radeon HD 4530","Yes","3.3","
09-Jan-2009 ","2560x1600","No","4.1"
"RV710 ","Yes","DX 10.1","No",0,"AMD",12.8,64,800,"GDDR3","Mobility Radeon HD 4570","Yes","3.3","
09-Jan-2009 ","2560x1600","No","4.1"
"RV730 ","Yes","DX 10.1","No",0,"AMD",25.6,128,800,"DDR3","Mobility Radeon HD 4670 512MB","Yes","3.3","
09-Jan-2009 ","2560x1600","No","4.1"
"RV710 ","Yes","DX 10.1","No",0,"AMD",9.6,64,600,"GDDR3","Mobility Radeon HD 4350","Yes","3.3","
09-Jan-2009 ","2560x1600","No","4.1"
"M66GL ","No","DX 9.0c","Yes",0,"AMD",10.6,128,330,"GDDR3","Mobility FireGL V5250","Yes","2","
01-Jan-2007 ","2048x1536","No","3"
"M56GL ","No","DX 9.0c","Yes",0,"AMD",15.2,128,475,"GDDR3","Mobility FireGL V5200","Yes","2","
01-Dec-2006 ","2048x1536","No","3"
"M97GL ","Yes","DX 10.1","No",0,"AMD",64,128,1000,"GDDR5","FirePro M7740","Yes","3.3","
04-Aug-2009 ","2560x1600","No","4.1"
"GCN 1.1 Mars XTX ","Yes","DX 12.0","No",256,"AMD",72,128,1125,"GDDR5","FirePro W4170M","Yes","4.4","
28-Apr-2014 ","4096x2160","Yes","5"
"GCN 1.1 Saturn XT GL ","Yes","DX 11.1","No",512,"AMD",72,128,1125,"GDDR5","FirePro M6100","Yes","4.2","
16-Oct-2013 ","4096x2160","Yes","5"
"GCN 1.1 Venus XT ","Yes","DX 11.1","No",256,"AMD",72,128,1125,"GDDR5","FirePro M5100","Yes","4.2","
16-Oct-2013 ","4096x2160","Yes","5"
"Cape Verde PRO GL ","Yes","DX 11.1","No",0,"AMD",64,128,1000,"GDDR5","FirePro M4000","Yes","4.2","
27-Jun-2012 ","4096x2160","Yes","5"
"RV710 ","Yes","DX 10.1","No",0,"AMD",9.6,64,600,"GDDR3","Mobility Radeon HD 4330","Yes","3.3","
09-Jan-2009 ","2560x1600","No","4.1"
"RV350 ","Yes","DX 9","No",0,"AMD",4,128,250,"DDR","Mobility Radeon 9600 Series","Yes","2","
01-Mar-2003 ","2048x1536","No","2"
"RV280 ","Yes","DX 8.1","No",0,"AMD",3.2,128,200,"DDR","Mobility Radeon 9200","Yes","1.4","
01-Mar-2003 ","2048x1536","No","1.4"
"RV360 ","Yes","DX 9","No",0,"AMD",4.4,128,275,"DDR","Mobility Radeon 9700 Series","Yes","2","
01-Feb-2004 ","2048x1536","No","2"
"RV630 ","Yes","DX 10","No",0,"AMD",24,128,750,"GDDR3","Mobility Radeon HD 2600 XT","Yes","2","
14-May-2007 ","2560x1600","No","4"
"RV250 ","Yes","DX 8.1","No",0,"AMD",3.2,128,200,"DDR","Mobility Radeon 9000 64MB","Yes","1.4","
01-Aug-2002 ","2048x1536","No","1.4"
"RV630 ","Yes","DX 10","No",0,"AMD",19.2,128,600,"GDDR3","Mobility Radeon HD 2600","Yes","2","
14-May-2007 ","2560x1600","No","4"
"RV630 ","Yes","DX 10","No",0,"AMD",22.4,128,700,"GDDR3","Mobility Radeon HD 2700","Yes","2","
12-Dec-2007 ","2560x1600","No","4"
"RV515 ","Yes","DX 9.0c","No",0,"AMD",12.8,128,400,"DDR2","Mobility Radeon HD 2300","Yes","2","
01-Mar-2007 ","2560x1600","No","3"
"RV610 ","Yes","DX 10","No",0,"AMD",11.2,64,700,"GDDR3","Mobility Radeon HD 2400 XT","Yes","2","
14-May-2007 ","2560x1600","No","4"
"RV670 ","Yes","DX 10.1","No",0,"AMD",54.4,256,850,"GDDR3","Mobility Radeon HD 3870","Yes","2","
04-Jun-2008 ","2560x1600","Yes","4.1"
"RV635 ","Yes","DX 10.1","No",0,"AMD",25.6,128,800,"GDDR3","Mobility Radeon HD 3670","Yes","2","
07-Jan-2008 ","2560x1600","No","4.1"
"RV635 ","Yes","DX 10.1","No",0,"AMD",22.4,128,700,"GDDR3","Mobility Radeon HD 3650","Yes","3.3","
07-Jan-2008 ","2560x1600","No","4.1"
"RV610 ","Yes","DX 10","No",0,"AMD",8,64,500,"DDR2","Mobility Radeon HD 2400","Yes","2","
14-May-2007 ","2560x1600","No","4"
"RV670 ","Yes","DX 10.1","No",0,"AMD",48,256,750,"GDDR3","Mobility Radeon HD 3850","Yes","2","
04-Jun-2008 ","2560x1600","No","4.1"
"RV620 ","Yes","DX 10.1","No",0,"AMD",12.8,64,800,"GDDR3","Mobility Radeon HD 3470","Yes","2","
07-Jan-2008 ","2560x1600","No","4.1"
"RV620 ","Yes","DX 10.1","No",0,"AMD",11.2,64,700,"DDR2","Mobility Radeon HD 3430","Yes","2","
25-Jul-2008 ","2560x1600","No","4.1"
"RV620 ","Yes","DX 10.1","No",0,"AMD",11.2,64,700,"GDDR3","Mobility Radeon HD 3450","Yes","2","
07-Jan-2008 ","2560x1600","No","4.1"
"RV620 ","Yes","DX 10.1","No",0,"AMD",11.2,64,700,"DDR2","Mobility Radeon HD 3410","Yes","2","
25-Jul-2008 ","2560x1600","No","4.1"
"G92M ","Yes","DX 10","No",0,"Nvidia",51.2,256,800,"GDDR3","GeForce 8800M GTX","Yes","2.1","
01-Nov-2007 ","2560x1600","Yes","4"
"G92 (x2) ","Yes","DX 10","No",2,"Nvidia",204.8,256,800,"GDDR5","GeForce 8800M GTX SLI","Yes","2.1","
01-Nov-2007 ","2560x1600","Yes","4"
"G92M ","Yes","DX 10","No",0,"Nvidia",51.2,256,800,"GDDR3","GeForce 8800M GTS","Yes","2.1","
01-Nov-2007 ","2560x1600","No","4"
"NV41M ","Yes","DX 9","No",0,"Nvidia",35.2,256,550,"DDR3","GeForce Go 6800 ultra","Yes","2","
01-Feb-2005 ","2048x1536","No","3"
"Kepler GK104 ","Yes","DX 12.0","No",512,"Nvidia",160,256,1250,"GDDR5","GeForce GTX 880M 8GB","Yes","4.5","
12-Mar-2014 ","4096x2160","Yes","5"
"G71M ","Yes","DX 9","No",0,"Nvidia",38.4,256,600,"GDDR3","GeForce Go 7900 GTX","Yes","2.1","
01-Apr-2006 ","2560x1600","Yes","3"
"G72M ","Yes","DX 9","No",0,"Nvidia",2.8,32,350,"DDR3","GeForce Go 7200","Yes","2.1","
01-Sep-2006 ","2560x1600","No","3"
"G70M ","Yes","DX 9","No",0,"Nvidia",35.2,256,550,"GDDR3","GeForce Go 7800 GTX","Yes","2.1","
01-Oct-2005 ","2560x1600","Yes","3"
"G71M ","Yes","DX 9","No",0,"Nvidia",44.8,256,700,"GDDR3","GeForce Go 7950 GTX","Yes","2.1","
01-Oct-2006 ","2560x1600","Yes","3"
"Kepler GK104 (x2) ","Yes","DX 11.2","No",2,"Nvidia",320,256,1250,"GDDR5","GeForce GTX 880M SLI","Yes","4.3","
12-Mar-2014 ","4096x2160","Yes","5"
"Fermi GF104-N12E-GTX-A1 (x2) ","Yes","DX 12.0","No",5122,"Nvidia",192,256,750,"GDDR5","GeForce GTX 485M SLI","Yes","4.5","
01-Jan-2011 ","2560x1600","Yes","5"
"Kepler GK104 ","Yes","DX 12.0","No",512,"Nvidia",160,256,1250,"GDDR5","GeForce GTX 880M 4GB","Yes","4.5","
12-Mar-2014 ","4096x2160","Yes","5"
"G71M ","Yes","DX 9","No",0,"Nvidia",32,256,500,"GDDR3","GeForce Go 7900 GS","Yes","2.1","
01-Apr-2006 ","2560x1600","Yes","3"
"G94b ","Yes","DX 10","No",0,"Nvidia",51.2,256,800,"GDDR3","GeForce GTS 160M","Yes","2.1","
02-Mar-2009 ","2560x1600","Yes","4"
"Fermi GF114 (x2) ","Yes","DX 11","No",2,"Nvidia",192,256,750,"GDDR5","GeForce GTX 580M SLI","Yes","4.1","
01-Jun-2011 ","2560x1600","Yes","5"
"Fermi GF116 (x2) ","Yes","DX 11","No",2,"Nvidia",120,192,625,"GDDR5","GeForce GTX 560M SLI","Yes","4.1","
01-May-2011 ","2560x1600","Yes","5"
"Fermi GF114 ","Yes","DX 12.0","No",512,"Nvidia",72,192,750,"GDDR5","GeForce GTX 570M","Yes","4.5","
28-Jun-2011 ","2560x1600","Yes","5"
"Fermi GF106 ","Yes","DX 12.0","No",384,"Nvidia",43.2,192,900,"DDR3","GeForce GT 555M 3GB","Yes","4.5","
05-Jan-2011 ","2560x1600","No","5"
"Fermi GF114 ","Yes","DX 12.0","No",512,"Nvidia",96,256,750,"GDDR5","GeForce GTX 580M","Yes","4.5","
28-Jun-2011 ","2560x1600","Yes","5"
"Fermi GF108-400-A1 ","Yes","DX 12.0","No",256,"Nvidia",50.2,128,784,"GDDR5","GeForce GT 555M v2","Yes","4.5","
15-Jun-2011 ","2560x1600","No","5"
"Fermi GF116 ","Yes","DX 12.0","No",384,"Nvidia",60,192,625,"GDDR5","GeForce GTX 560M","Yes","4.5","
30-May-2011 ","2560x1600","Yes","5"
"Fermi GF116 ","Yes","DX 12.0","No",384,"Nvidia",28.8,128,900,"DDR3","GeForce GT 555M v3","Yes","4.5","
26-Mar-2012 ","2560x1600","No","5"
"Fermi GF108 ","Yes","DX 12.0","No",256,"Nvidia",28.8,128,900,"DDR3","GeForce GT 550M 2GB","Yes","4.5","
06-Jan-2011 ","2560x1600","No","5"
"Fermi GF108 ","Yes","DX 12.0","No",256,"Nvidia",28.8,128,900,"DDR3","GeForce GT 540M","Yes","4.5","
06-Jan-2011 ","2560x1600","No","5"
"Fermi GF106 ","Yes","DX 12.0","No",384,"Nvidia",43.2,192,900,"DDR3","GeForce GT 555M","Yes","4.5","
05-Jan-2011 ","2560x1600","No","5"
"Fermi GF108 ","Yes","DX 12.0","No",256,"Nvidia",28.8,128,900,"DDR3","GeForce GT 540M 2GB","Yes","4.5","
01-Jan-2011 ","2560x1600","No","5"
"Fermi GF108 ","Yes","DX 12.0","No",256,"Nvidia",28.8,128,900,"DDR3","GeForce GT 550M","Yes","4.5","
05-Jan-2011 ","2560x1600","No","5"
"Fermi GF108 ","Yes","DX 12.0","No",256,"Nvidia",28.8,128,900,"DDR3","GeForce GT 525M","Yes","4.5","
05-Jan-2011 ","2560x1600","No","5"
"Fermi GF108 ","Yes","DX 12.0","No",256,"Nvidia",28.8,128,900,"DDR3","GeForce GT 525M 2GB","Yes","4.5","
01-Jan-2011 ","2560x1600","No","5"
"Fermi GF108 ","Yes","DX 12.0","No",256,"Nvidia",12.8,64,800,"DDR3","GeForce GT 520M v2","Yes","4.5","
05-Jan-2011 ","2560x1600","No","5"
"Fermi GF119 ","Yes","DX 12.0","No",128,"Nvidia",12.8,64,800,"DDR3","GeForce GT 520M","Yes","4.5","
05-Jan-2011 ","2560x1600","No","5"
"Tesla G92-N10E-GTX ","Yes","DX 10.0","No",0,"Nvidia",60.8,256,950,"GDDR3","GeForce GTX 280M","Yes","3.3","
01-Mar-2009 ","2560x1600","Yes","4"
"Tesla G92-N10E-GTX1-B1 ","Yes","DX 10.0","No",0,"Nvidia",64,256,1000,"GDDR3","GeForce GTX 285M","Yes","3.3","
01-Feb-2010 ","2560x1600","Yes","4"
"Fermi GF119 ","Yes","DX 12.0","No",128,"Nvidia",14.4,64,900,"DDR3","GeForce GT 520MX","Yes","4.5","
30-May-2011 ","2560x1600","No","5"
"Tesla G92-N10E-GT ","Yes","DX 10.0","No",0,"Nvidia",60.8,256,950,"GDDR3","GeForce GTX 260M","Yes","3.3","
01-Mar-2009 ","2560x1600","Yes","4"
"Tesla G92b (x2) ","Yes","DX 10","No",2,"Nvidia",121.6,256,950,"GDDR3","GeForce GTX 260M SLI","Yes","2.1","
01-Mar-2009 ","2560x1600","Yes","4"
"Tesla GT215-N10E-GS ","Yes","DX 10.1","No",0,"Nvidia",57.6,128,900,"GDDR5","GeForce GTS 260M","Yes","3.3","
01-Jun-2009 ","2560x1600","Yes","4"
"Tesla GT215-N10E-GE-A2 ","Yes","DX 10.1","No",0,"Nvidia",51.2,128,800,"GDDR5","GeForce GTS 250M","Yes","3.3","
01-Jun-2009 ","2560x1600","Yes","4"
"Tesla G92b (x2) ","Yes","DX 10","No",2,"Nvidia",121.6,256,950,"GDDR3","GeForce GTX 280M SLI","Yes","2.1","
01-Mar-2009 ","2560x1600","Yes","4"
"Pascal P104-200-A1 ","Yes","DX 12.1","No",2048,"Nvidia",256.3,256,2002,"GDDR5","GeForce GTX 1070M","Yes","4.5","
01-Sep-2016 ","7680x4320","No","5"
"Pascal P107 ","Yes","DX 12.1","No",1024,"Nvidia",112.1,128,1752,"GDDR5","GeForce GTX 1050M Ti 4GB","Yes","4.5","
18-Oct-2016 ","7680x4320","No","5"
"Tesla GT216-N10P-GS ","Yes","DX 10.1","No",0,"Nvidia",25.6,128,800,"DDR3","GeForce GT 240M","Yes","3.3","
01-Jun-2009 ","2560x1600","No","4"
"Pascal P102 ","Yes","DX 12.1","No",3072,"Nvidia",484.4,352,1376,"GDDR5X","GeForce GTX 1080 Ti Mobile","Yes","4.5","
05-Mar-2017 ","7680x4320","Yes","5"
"Pascal P107 ","Yes","DX 12.1","No",1024,"Nvidia",112.1,128,1752,"GDDR5","GeForce GTX 1050M","Yes","4.5","
01-Nov-2016 ","7680x4320","No","5"
"Tesla GT218-N10M-GS ","Yes","DX 10.1","No",0,"Nvidia",12.8,64,800,"GDDR3","GeForce G 210M","Yes","3.3","
02-Jan-2009 ","2560x1600","No","4"
"Tesla GT216-N10P-GE-A2 ","Yes","DX 10.1","No",0,"Nvidia",25.6,128,800,"GDDR3","GeForce GT 230M","Yes","3.3","
15-Jun-2009 ","2560x1600","No","4"
"Pascal P106-400-A1 ","Yes","DX 12.1","No",2048,"Nvidia",192.2,192,2002,"GDDR5","GeForce GTX 1060M","Yes","4.5","
01-Sep-2016 ","7680x4320","No","5"
"Tesla G92b (x2) ","Yes","DX 10","No",2,"Nvidia",65.3,128,1020,"GDDR3","GeForce GTX 285M SLI","Yes","2.1","
01-Feb-2010 ","2560x1600","Yes","4"
"G96b ","Yes","DX 10","No",0,"Nvidia",25.6,128,800,"GDDR3","GeForce GT 130M","Yes","2.1","
08-Jan-2009 ","2560x1600","Yes","4"
"G94b ","Yes","DX 10","No",0,"Nvidia",64,256,1000,"GDDR3","GeForce GTS 150M","Yes","2.1","
02-Mar-2009 ","2560x1600","Yes","4"
"Tesla G96M C1 ","Yes","DX 10.0","No",0,"Nvidia",25.6,128,800,"DDR3","GeForce GT 220M","Yes","3.3","
16-Aug-2009 ","2560x1600","No","4"
"G98 ","Yes","DX 10","No",0,"Nvidia",8,64,500,"DDR2","GeForce G 103M","Yes","2.1","
01-Sep-2009 ","2560x1600","No","4"
"G98 ","Yes","DX 10","No",0,"Nvidia",11.2,64,700,"GDDR3","GeForce G 105M","Yes","2.1","
08-Jan-2009 ","2560x1600","No","4"
"MCP79XT ","No","DX 10","Yes",0,"Nvidia",6.4,64,400,"DDR2","GeForce G 102M","Yes","2.1","
03-Mar-2009 ","2560x1600","No","4"
"Fermi GF104-N12E-GTX-A1 ","Yes","DX 12.0","No",512,"Nvidia",96,256,750,"GDDR5","GeForce GTX 485M","Yes","4.5","
05-Jan-2011 ","2560x1600","Yes","5"
"Fermi GF100-N11E-GTX-A3 ","Yes","DX 12.0","No",512,"Nvidia",76.8,256,600,"GDDR5","GeForce GTX 480M","Yes","4.5","
25-May-2010 ","2560x1600","Yes","5"
"Fermi GF100-N11E-GTX-A3 (x2) ","Yes","DX 12.0","No",5122,"Nvidia",153.6,256,600,"GDDR5","GeForce GTX 480M SLI","Yes","4.5","
01-May-2010 ","2560x1600","Yes","5"
"Fermi GF104-N11E-GT (x2) ","Yes","DX 12.0","No",3842,"Nvidia",120,192,625,"GDDR5","GeForce GTX 470M SLI","Yes","4.5","
01-Sep-2010 ","2560x1600","Yes","5"
"Fermi GF104-N11E-GT ","Yes","DX 12.0","No",384,"Nvidia",60,192,625,"GDDR5","GeForce GTX 470M","Yes","4.5","
03-Sep-2010 ","2560x1600","Yes","5"
"Fermi GF106-N11E-GE-A1 ","Yes","DX 12.0","No",384,"Nvidia",40,128,625,"GDDR5","GeForce GT 445M v2","Yes","4.5","
03-Sep-2010 ","2560x1600","No","5"
"G96b ","Yes","DX 10","No",0,"Nvidia",11.2,64,700,"GDDR3","GeForce G 110M","Yes","2.1","
08-Jan-2009 ","2560x1600","No","4"
"Fermi GF106-N11E-GE-A1 ","Yes","DX 12.0","No",384,"Nvidia",38.4,192,800,"DDR3","GeForce GT 445M","Yes","4.5","
03-Sep-2010 ","2560x1600","No","5"
"Fermi GF106-N11E-GS-A1 (x2) ","Yes","DX 12.0","No",3842,"Nvidia",120,192,625,"GDDR5","GeForce GTX 460M SLI","Yes","4.5","
01-Sep-2010 ","2560x1600","Yes","5"
"Fermi GF106-N11E-GE-A1 ","Yes","DX 12.0","No",256,"Nvidia",25.6,128,800,"DDR3","GeForce GT 435M v2","Yes","4.5","
15-Jan-2011 ","2560x1600","No","5"
"Fermi GF108-N11P-GT ","Yes","DX 12.0","No",256,"Nvidia",25.6,128,800,"DDR3","GeForce GT 435M","Yes","4.5","
03-Sep-2010 ","2560x1600","No","5"
"Fermi GF108-N11P-GS-A1 ","Yes","DX 12.0","No",256,"Nvidia",25.6,128,800,"DDR3","GeForce GT 425M","Yes","4.5","
03-Sep-2010 ","1600x1200","No","5"
"Fermi GF106-N11E-GS-A1 ","Yes","DX 12.0","No",384,"Nvidia",60,192,625,"GDDR5","GeForce GTX 460M","Yes","4.5","
03-Sep-2010 ","2560x1600","Yes","5"
"Kepler GK104 ","Yes","DX 12.0","No",512,"Nvidia",120,192,1250,"GDDR5","GeForce GTX 870M 6GB","Yes","4.5","
12-Mar-2014 ","4096x2160","Yes","5"
"Pascal P104-400-A1 ","Yes","DX 12.1","No",2048,"Nvidia",320.3,256,1251,"GDDR5X","GeForce GTX 1080M","Yes","4.5","
01-Sep-2016 ","7680x4320","No","5"
"Fermi GF119-N12M-GS ","Yes","DX 12.0","No",128,"Nvidia",12.8,64,800,"DDR3","GeForce 410M","Yes","4.5","
05-Jan-2011 ","2560x1600","No","5"
"Fermi GF108-N11P-GE-A1 ","Yes","DX 12.0","No",256,"Nvidia",25.6,128,800,"DDR3","GeForce GT 420M","Yes","4.5","
03-Sep-2010 ","2560x1600","No","5"
"Fermi GF108-N11P-GV ","Yes","DX 12.0","No",128,"Nvidia",25.6,128,800,"DDR3","GeForce GT 415M","Yes","4.5","
03-Sep-2010 ","2560x1600","No","5"
"Maxwell GM107 ","Yes","DX 12.0","No",2048,"Nvidia",80,128,1250,"GDDR5","GeForce GTX 860M 4GB","Yes","4.5","
12-Mar-2014 ","4096x2160","No","5"
"Tesla GT218 ","Yes","DX 10.1","No",0,"Nvidia",12.8,64,800,"GDDR3","Geforce 405M","Yes","3.3","
10-May-2012 ","2560x1600","No","5"
"Maxwell GM107 ","Yes","DX 12.0","No",2048,"Nvidia",80.2,128,1253,"GDDR5","GeForce GTX 850M v2 2GB","Yes","4.5","
12-Mar-2014 ","4096x2160","No","5"
"Maxwell GM107 ","Yes","DX 12.0","No",2048,"Nvidia",32,128,1000,"DDR3","GeForce GTX 850M 4GB","Yes","4.5","
12-Mar-2014 ","4096x2160","Yes","5"
"Maxwell GM107-N15P-GX-A1 (x2) ","Yes","DX 12.0","No",20482,"Nvidia",160.4,128,1253,"GDDR5","GeForce GTX 860M 2GB SLI","Yes","4.5","
12-Mar-2014 ","4096x2160","Yes","5"
"Maxwell GM108 ","Yes","DX 12.0","No",1024,"Nvidia",16,64,1001,"DDR3","GeForce 840M 4GB","Yes","4.5","
12-Mar-2014 ","4096x2160","No","5"
"GT215 ","Yes","DX 10.1","No",0,"Nvidia",57.6,128,900,"GDDR5","GeForce GTS 360M","Yes","2.1","
07-Jan-2010 ","2560x1600","Yes","4.1"
"Fermi GF117-N15V-GM ","Yes","DX 12.0","No",128,"Nvidia",14.4,64,900,"DDR3","GeForce 820M 2GB","Yes","4.5","
27-Nov-2013 ","2560x1600","No","5"
"GT215 ","Yes","DX 10.1","No",0,"Nvidia",51.2,128,800,"GDDR5","GeForce GTS 350M","Yes","2.1","
07-Jan-2010 ","2560x1600","Yes","4.1"
"GT215 ","Yes","DX 10.1","No",0,"Nvidia",34.1,128,1066,"DDR3","GeForce GT 335M","Yes","2.1","
07-Jan-2010 ","2560x1600","Yes","4.1"
"Maxwell GM108 ","Yes","DX 12.0","No",1024,"Nvidia",16,64,1001,"DDR3","GeForce 840M 2GB","Yes","4.5","
12-Mar-2014 ","4096x2160","No","5"
"GT216 ","Yes","DX 10.1","No",0,"Nvidia",34.1,128,1066,"DDR3","GeForce GT 330M","Yes","2.1","
10-Jan-2010 ","2560x1600","No","4.1"
"GT216 ","Yes","DX 10.1","No",0,"Nvidia",34.1,128,1066,"DDR3","GeForce GT 325M","Yes","2.1","
10-Jan-2010 ","2560x1600","No","4.1"
"Kepler GK208 ","Yes","DX 12.0","No",128,"Nvidia",14.4,64,900,"DDR3","GeForce 825M 2GB","Yes","4.5","
27-Jan-2014 ","4096x2160","No","5"
"Tesla MCP89 ","No","DX 10.0","Yes",0,"Nvidia",21.3,128,667,"DDR3","GeForce 320M","Yes","3.3","
01-Apr-2010 ","2560x1600","No","4.1"
"GT216 ","Yes","DX 10.1","No",0,"Nvidia",25.3,128,790,"DDR3","GeForce GT 320M","Yes","2.1","
21-Jan-2010 ","2560x1600","No","4.1"
"Maxwell GM107 ","Yes","DX 12.0","No",2048,"Nvidia",32,128,1000,"DDR3","GeForce GTX 850M 2GB","Yes","4.5","
12-Mar-2014 ","4096x2160","Yes","5"
"Tesla GT218-N11M-GE1 ","Yes","DX 10.1","No",0,"Nvidia",12.6,64,790,"DDR3","GeForce 310M","Yes","3.3","
10-Jan-2010 ","2560x1600","No","4.1"
"Tesla GT218-N11M-GE1 ","Yes","DX 10.1","No",0,"Nvidia",12.6,64,790,"DDR3","GeForce 315M","Yes","3.3","
05-Jan-2011 ","2560x1600","No","4.1"
"Kepler GK104 ","Yes","DX 12.0","No",512,"Nvidia",120,192,1250,"GDDR5","GeForce GTX 870M 3GB","Yes","4.5","
12-Mar-2014 ","4096x2160","Yes","5"
"Fermi GF117-N15V-GM ","Yes","DX 12.0","No",128,"Nvidia",14.4,64,900,"DDR3","GeForce 820M 1GB","Yes","4.5","
27-Nov-2013 ","2560x1600","No","5"
"Tesla GT218-N11M-LP1 ","Yes","DX 10.1","No",0,"Nvidia",11.2,64,700,"DDR3","GeForce 305M","Yes","3.3","
10-Jan-2010 ","2560x1600","Yes","4.1"
"Kepler GK104 ","Yes","DX 12.0","No",512,"Nvidia",160,256,1250,"GDDR5","GeForce GTX 675MX Mac Edition","Yes","4.5","
01-Apr-2013 ","4096x2160","Yes","5"
"Kepler GK104-N13E-GTX-A2 ","Yes","DX 12.0","No",512,"Nvidia",115.2,256,900,"GDDR5","GeForce GTX 680M","Yes","4.5","
05-Jun-2012 ","4096x2160","Yes","5"
"Kepler GK104-N13E-GSR-A2 ","Yes","DX 12.0","No",512,"Nvidia",115.2,256,900,"GDDR5","GeForce GTX 675MX","Yes","4.5","
01-Oct-2012 ","4096x2160","Yes","5"
"Kepler GK104-N13E-GTX2-A2 ","Yes","DX 12.0","No",512,"Nvidia",160,256,1250,"GDDR5","GeForce GTX 680MX","Yes","4.5","
23-Oct-2012 ","4096x2160","Yes","5"
"Kepler GK104 (x2) ","Yes","DX 11.1","No",2,"Nvidia",230.4,256,900,"GDDR5","GeForce GTX 680M SLI","Yes","4.1","
01-Jun-2012 ","4096x2160","Yes","5"
"Fermi GF114 ","Yes","DX 12.0","No",512,"Nvidia",96,256,750,"GDDR5","GeForce GTX 675M","Yes","4.5","
22-Mar-2012 ","2560x1600","Yes","5"
"Fermi GF114 (x2) ","Yes","DX 11","No",2,"Nvidia",192,256,750,"GDDR5","GeForce GTX 675M SLI","Yes","4.1","
22-Mar-2012 ","2560x1600","Yes","5"
"Maxwell GM107-N15P-GX-A1 ","Yes","DX 12.0","No",2048,"Nvidia",80.2,128,1253,"GDDR5","GeForce GTX 860M 2GB","Yes","4.5","
12-Mar-2014 ","4096x2160","Yes","5"
"Kepler GK106 (x2) ","Yes","DX 11","No",2,"Nvidia",134.4,192,700,"GDDR5","GeForce GTX 670MX SLI","Yes","4.1","
01-Oct-2012 ","4096x2160","Yes","5"
"Tesla GT218-N11M-GE1 ","Yes","DX 10.1","No",0,"Nvidia",10.7,64,667,"DDR3","GeForce 310M v2","Yes","3.3","
10-Jan-2010 ","2560x1600","No","4.1"
"Fermi GF114 ","Yes","DX 12.0","No",512,"Nvidia",72,192,750,"GDDR5","GeForce GTX 670M","Yes","4.5","
22-Mar-2012 ","2560x1600","Yes","5"
"Fermi GF114 ","Yes","DX 12.0","No",512,"Nvidia",72,192,750,"GDDR5","GeForce GTX 670M 3GB","Yes","4.5","
01-Mar-2012 ","2560x1600","Yes","5"
"Kepler GK104-N13E-GR-A2 ","Yes","DX 12.0","No",384,"Nvidia",67.2,192,700,"GDDR5","GeForce GTX 670MX","Yes","4.5","
01-Oct-2012 ","4096x2160","Yes","5"
"Kepler GK107-N13E-GE-A2 ","Yes","DX 12.0","No",256,"Nvidia",64,128,1000,"GDDR5","GeForce GTX 660M","Yes","4.5","
22-Mar-2012 ","4096x2160","Yes","5"
"Kepler GK107 (x2) ","Yes","DX 12.0","No",2562,"Nvidia",128,128,1000,"GDDR5","GeForce GT 650M v2 SLI","Yes","4.5","
22-Mar-2012 ","4096x2160","Yes","5"
"Kepler GK107-N13P-GT-W-A2 ","Yes","DX 12.0","No",256,"Nvidia",80.3,128,1254,"GDDR5","GeForce GT 650M Mac 1GB Edition","Yes","4.5","
12-Jul-2012 ","4096x2160","Yes","5"
"Kepler GK107 ","Yes","DX 12.0","No",256,"Nvidia",28.8,128,900,"DDR3","GeForce GT 645M","Yes","4.5","
01-Oct-2012 ","4096x2160","No","5"
"Fermi GF108 ","Yes","DX 12.0","No",256,"Nvidia",50.2,128,785,"GDDR5","GeForce GT 640M LE v2","Yes","4.5","
05-May-2012 ","2560x1600","No","5"
"Kepler GK107 ","Yes","DX 12.0","No",256,"Nvidia",28.8,128,900,"DDR3","GeForce GT 640M LE","Yes","4.5","
22-Mar-2012 ","4096x2160","No","5"
"Kepler GK107 ","Yes","DX 12.0","No",256,"Nvidia",28.8,128,900,"DDR3","GeForce GT 650M","Yes","4.5","
22-Mar-2012 ","4096x2160","No","5"
"Kepler GK107 ","Yes","DX 12.0","No",256,"Nvidia",28.8,128,900,"DDR3","GeForce GT 640M","Yes","4.5","
22-Mar-2012 ","4096x2160","No","5"
"Fermi GF116 ","Yes","DX 12.0","No",384,"Nvidia",28.8,128,900,"DDR3","GeForce GT 635M v3","Yes","4.5","
06-Mar-2012 ","2560x1600","No","5"
"Fermi GF108 ","Yes","DX 12.0","No",256,"Nvidia",28.8,128,900,"DDR3","GeForce GT 635M v2","Yes","4.5","
22-Mar-2012 ","2560x1600","No","5"
"Fermi GF108 ","Yes","DX 12.0","No",256,"Nvidia",28.8,128,900,"DDR3","GeForce GT 630M","Yes","4.5","
22-Mar-2012 ","2560x1600","No","5"
